;count;unique;top;freq;mean;std;min;0%;1%;5%;10%;25%;50%;75%;90%;95%;99%;100%;max;missing;total count;% missing;variability;variability_decision;completeness_decision
Num-YLD-Bot-Dig_dis;560.0;;;;54492.22678031127;70849.57263731441;1150.7207297420557;1150.7207297420557;1275.1912750282581;4519.461954240212;7498.423769319099;14708.318833303223;24446.29130117436;47927.442523870515;217998.6160669337;235709.58585536058;252269.64694638364;277496.5540706658;277496.5540706658;0.0;560.0;0.0;high_variation;accept;accept_100
Per-YLD-Bot-Dig_dis;560.0;;;;0.023012770191195197;0.006133137895117121;0.0125981941347418;0.0125981941347418;0.012638179236253969;0.01384439383808667;0.01464448516095571;0.016755068264784248;0.02577428715708615;0.028009466132662673;0.03085382523704293;0.03123911241045283;0.03299277307113294;0.0333931569720422;0.0333931569720422;0.0;560.0;0.0;high_variation;accept;accept_100
Rat-YLD-Bot-Dig_dis;560.0;;;;303.5306133117168;78.82316394650483;170.54116065961526;170.54116065961526;174.8118993997796;181.40359783330968;184.8168822688648;236.82868317657926;335.41493515500713;366.583583691937;396.09291826879434;409.2702988363336;439.8365665083616;447.8078212507068;447.8078212507068;0.0;560.0;0.0;high_variation;accept;accept_100
Num-YLD-Bot-Mal_ski_mel;560.0;;;;1516.8707530913762;2131.5585819881844;34.52900500891465;34.52900500891465;44.49395754471403;70.39672884742693;106.7596541625308;261.89404788140916;629.37641308424;1308.0214754624806;5463.137098259842;6426.907994042079;9289.849352095103;9707.980669639392;9707.980669639392;0.0;560.0;0.0;high_variation;accept;accept_100
Per-YLD-Bot-Mal_ski_mel;560.0;;;;0.0006181392547181544;0.0003008444300562169;0.0001077296562388;0.0001077296562388;0.000130885059536235;0.00018819456969974501;0.00023924819870924;0.000383734485083675;0.0005858445250898001;0.0007910129302726751;0.0010463389050486803;0.0012253604909249;0.001370426116651427;0.0013835141517443;0.0013835141517443;0.0;560.0;0.0;high_variation;accept;accept_100
Rat-YLD-Bot-Mal_ski_mel;560.0;;;;8.219549636787445;4.022259385915245;1.2578960920298494;1.2578960920298494;1.6031423128260263;2.3676230690431503;3.106343958475925;5.091469965069325;7.807220506241621;10.615987969692613;13.981466564635673;16.29034884564763;17.727348887330393;18.10485570347822;18.10485570347822;0.0;560.0;0.0;high_variation;accept;accept_100
Num-YLD-Bot-Lip_and_ora_cav_can;560.0;;;;738.870996599869;1002.5547308750988;18.247092626076714;18.247092626076714;18.711527362616977;44.66280262461711;52.3486617683136;134.55115403092736;270.6294463878497;706.3228843660322;2882.0112847175874;3156.1457261736296;3503.636108209072;3722.24837467146;3722.24837467146;0.0;560.0;0.0;high_variation;accept;accept_100
Per-YLD-Bot-Lip_and_ora_cav_can;560.0;;;;0.00027862486856000825;8.998397192572347e-05;0.0001430122073798;0.0001430122073798;0.000155074172270158;0.00016551719424782;0.0001863828689316;0.00020776962173045;0.0002663345587779;0.00032621228302955;0.00039417654397647003;0.00048198931289351;0.0005562518802324646;0.0005833720529732;0.0005833720529732;0.0;560.0;0.0;high_variation;accept;accept_100
Rat-YLD-Bot-Lip_and_ora_cav_can;560.0;;;;3.67806532991883;1.187698147424974;1.846421906478476;1.846421906478476;1.9322874645618568;2.159148732206231;2.44231568162333;2.6990890962839247;3.4950222529579498;4.3274759123901205;5.450322573323101;6.197806540458925;7.118667064421328;7.496130949114897;7.496130949114897;0.0;560.0;0.0;high_variation;accept;accept_100
Num-YLD-Bot-Tra_bro_and_lun_can;560.0;;;;2960.747377376618;3919.944224889768;61.0145774397579;61.0145774397579;69.28071279195116;165.98274389975734;274.768028085684;624.7099867350679;1106.4720624679617;2614.3731120040075;9986.616542629945;11307.059289262514;15543.968071057949;15980.037960793112;15980.037960793112;0.0;560.0;0.0;high_variation;accept;accept_100
Per-YLD-Bot-Tra_bro_and_lun_can;560.0;;;;0.0011318114957265695;0.00025262441660858326;0.0005727060270731;0.0005727060270731;0.0006430000090280319;0.0007195859732925;0.0008427912939691;0.0009441686643304751;0.00112847243856235;0.0012849123690643;0.00148197943883107;0.0016289011359110499;0.0017456621009122554;0.0017945990875837;0.0017945990875837;0.0;560.0;0.0;high_variation;accept;accept_100
Rat-YLD-Bot-Tra_bro_and_lun_can;560.0;;;;14.899569483537666;3.4419537955292263;7.705492420442031;7.705492420442031;8.743567359526269;9.594439289324656;10.476312763863787;12.317782351735433;14.758440997143317;16.989605827496153;19.97875228387766;21.159110214225247;22.693467737553092;23.21428239363668;23.21428239363668;0.0;560.0;0.0;high_variation;accept;accept_100
Num-YLD-Bot-Non_ski_can;560.0;;;;121.09793770363717;163.45638317431045;2.357291215489912;2.357291215489912;2.7144406399013072;4.021151915498302;7.676618542254201;22.45230179853585;49.12818738979276;108.74927723131026;414.7899263499875;518.7359185198477;629.6167118477191;676.7936817376215;676.7936817376215;0.0;560.0;0.0;high_variation;accept;accept_100
Per-YLD-Bot-Non_ski_can;560.0;;;;4.612724932925741e-05;1.9401341730801293e-05;1.4276477191270351e-05;1.4276477191270351e-05;1.5749494164654395e-05;2.1385578937400386e-05;2.4324994609404175e-05;2.8609405474781975e-05;4.736811190606759e-05;5.7397012397473144e-05;6.745654578181426e-05;7.395617126204902e-05;0.00011591725861310975;0.0001374465958586;0.0001374465958586;0.0;560.0;0.0;high_variation;accept;accept_100
Rat-YLD-Bot-Non_ski_can;560.0;;;;0.6127999222195576;0.2727303337606524;0.1648245162645314;0.1648245162645314;0.18773500743184668;0.2682345937738146;0.3062001150494467;0.37371636036407574;0.636444912287249;0.7699830511175191;0.9054750788382508;1.023125174382483;1.6444137858688201;2.010122977721123;2.010122977721123;0.0;560.0;0.0;high_variation;accept;accept_100
Num-YLD-Bot-Tot_can;560.0;;;;50065.812792296354;68997.76993462609;1077.728174444112;1077.728174444112;1224.2448879813253;3118.0102203566516;4150.111077317305;11222.191844629217;23045.62816235931;37939.84903198866;178094.31117990255;210516.49050241368;272048.7139410867;287317.03064926644;287317.03064926644;0.0;560.0;0.0;high_variation;accept;accept_100
Per-YLD-Bot-Tot_can;560.0;;;;0.01895516901411391;0.003570194749298549;0.0093335949941706;0.0093335949941706;0.010414063071357524;0.01248273112331855;0.013816702305376401;0.0167734263738512;0.01940114930054035;0.0214444238419237;0.02295459886368087;0.024243293601470376;0.027196771084361304;0.0282688563227074;0.0282688563227074;0.0;560.0;0.0;high_variation;accept;accept_100
Rat-YLD-Bot-Tot_can;560.0;;;;251.35541279971554;53.10287293724126;109.23445640246076;109.23445640246076;125.49151156079749;150.8829129378431;172.6780358539667;217.6396068948683;259.13604588535844;287.3185747934692;313.50868888528964;335.1549727777341;360.5249864275648;377.4877568968662;377.4877568968662;0.0;560.0;0.0;high_variation;accept;accept_100
High_temperature;560.0;;;;0.8857142857142857;0.31844241421803887;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;560.0;0.0;50_variation;accept;accept_100
Heat_wave;560.0;;;;0.5160714285714286;0.5001884388071972;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;560.0;0.0;high_variation;accept;accept_100
Days_w_High_temperature;560.0;;;;6.798214285714286;6.437284927270049;0.0;0.0;0.0;0.0;0.0;2.0;5.0;10.0;16.0;21.0;28.0;29.0;29.0;0.0;560.0;0.0;high_variation;accept;accept_100
Days_w_Heat_wave;560.0;;;;2.2982142857142858;3.631308455488338;0.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;7.0;11.0;15.0;19.0;19.0;0.0;560.0;0.0;high_variation;accept;accept_100
